estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.4860426929392447,0.5420566502463053,0.5927750410509032,0.02860982682422434,0.1,,,,
MultilayerPerceptron,0.4909688013136289,0.537291234551897,0.5789473684210527,0.02732754924589724,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.49261083743842365,0.5371262207242244,0.5747126436781609,0.023801906690814768,100,,,,
RandomForest,0.48932676518883417,0.5363049325900959,0.5747126436781609,0.023918127893275923,,,100,,
DecisionTree,0.48932676518883417,0.535976525365137,0.5747126436781609,0.023985888495429424,,gini,,,
DecisionTree,0.48932676518883417,0.535976525365137,0.5747126436781609,0.023985888495429424,,entropy,,,
RandomForest,0.4860426929392447,0.5348254796473944,0.5747126436781609,0.024526924602230497,,,10,,
LogisticRegression,0.47126436781609193,0.5279208257713248,0.5566502463054187,0.027333061025888877,1.0,,,,
LinearDiscriminantAnalysis,0.47126436781609193,0.5277566221588453,0.5566502463054187,0.027332605111282243,,,,,
LogisticRegression,0.47126436781609193,0.5277566221588453,0.5566502463054187,0.027332605111282243,10000.0,,,,
